Div,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,Atalanta,Lazio,1,0,H,1,0,H,4,11,2,3,10,17,7,7,2,4,0,0
I1,Bologna,Milan,0,0,D,0,0,D,7,11,6,4,12,12,2,1,2,5,0,1
I1,Chievo,Inter,1,1,D,0,1,A,6,9,3,3,10,10,5,7,3,2,0,0
I1,Empoli,Sampdoria,2,4,A,1,1,D,6,15,3,12,14,9,8,5,3,4,0,0
I1,Genoa,Atalanta,3,1,H,1,0,H,15,10,7,6,13,13,9,6,3,2,0,2
I1,Juventus,Roma,1,0,H,1,0,H,15,4,7,4,9,12,13,2,0,3,0,0
I1,Lazio,Cagliari,3,1,H,2,0,H,15,9,10,5,16,9,7,5,2,1,0,0
I1,Milan,Fiorentina,0,1,A,0,0,D,11,7,7,1,10,18,9,7,3,4,0,0
I1,Napoli,Spal,1,0,H,1,0,H,15,10,8,6,13,8,3,5,2,2,0,0
I1,Parma,Bologna,0,0,D,0,0,D,7,5,1,2,8,9,4,2,3,3,0,0
I1,Sassuolo,Torino,1,1,D,0,0,D,11,4,6,3,12,15,12,2,2,3,0,0
I1,Udinese,Frosinone,1,1,D,1,0,H,9,10,1,6,11,16,2,5,2,4,0,0
I1,Atalanta,Juventus,2,2,D,1,1,D,10,10,6,3,17,16,5,5,4,4,0,1
I1,Bologna,Lazio,0,2,A,0,1,A,6,11,3,7,15,18,1,7,2,0,0,0
I1,Cagliari,Genoa,1,0,H,1,0,H,12,10,7,4,8,9,4,4,3,3,0,0
I1,Fiorentina,Parma,0,1,A,0,1,A,16,3,7,2,15,15,9,2,4,4,1,0
I1,Frosinone,Milan,0,0,D,0,0,D,11,16,5,8,10,12,3,6,2,1,0,0
I1,Inter,Napoli,1,0,H,0,0,D,9,9,5,4,12,8,5,0,3,4,0,2
I1,Roma,Sassuolo,3,1,H,2,0,H,16,8,10,3,15,16,8,5,1,1,0,0
I1,Sampdoria,Chievo,2,0,H,0,0,D,10,7,6,1,22,19,4,1,2,1,0,0
I1,Spal,Udinese,0,0,D,0,0,D,7,3,4,1,10,14,7,2,1,2,0,0
I1,Torino,Empoli,3,0,H,1,0,H,13,5,10,1,9,9,5,1,1,3,0,1
I1,Chievo,Frosinone,1,0,H,0,0,D,9,12,3,4,16,20,4,2,4,6,0,1
I1,Empoli,Inter,0,1,A,0,0,D,7,7,3,6,14,4,4,6,1,1,0,0
I1,Genoa,Fiorentina,0,0,D,0,0,D,7,8,3,6,21,8,7,3,2,1,0,0
I1,Juventus,Sampdoria,2,1,H,1,1,D,15,7,8,3,13,16,6,3,2,2,0,0
I1,Lazio,Torino,1,1,D,0,1,A,10,7,5,6,20,22,7,3,4,4,1,1
I1,Milan,Spal,2,1,H,1,1,D,11,9,6,4,15,10,11,2,4,2,1,0
I1,Napoli,Bologna,3,2,H,1,1,D,14,10,9,4,14,10,6,5,2,2,0,0
I1,Parma,Roma,0,2,A,0,0,D,3,19,2,8,7,11,2,7,1,1,0,0
I1,Sassuolo,Atalanta,2,6,A,0,2,A,13,13,8,9,10,10,1,8,1,2,0,0
I1,Udinese,Cagliari,2,0,H,1,0,H,19,4,7,1,11,15,6,6,3,2,1,1
I1,Inter,Sassuolo,0,0,D,0,0,D,8,11,4,6,16,16,11,0,1,3,0,0
I1,Roma,Torino,3,2,H,2,0,H,11,8,9,3,17,17,6,3,2,3,0,0
I1,Udinese,Parma,1,2,A,0,1,A,17,7,9,4,17,15,8,2,3,1,0,0
I1,Cagliari,Empoli,2,2,D,1,0,H,13,9,3,4,11,10,4,7,0,0,0,0
I1,Fiorentina,Sampdoria,3,3,D,1,1,D,8,9,4,5,15,22,4,7,6,4,1,0
I1,Frosinone,Atalanta,0,5,A,0,2,A,5,14,3,8,12,11,4,8,2,0,0,0
I1,Napoli,Lazio,2,1,H,2,0,H,17,13,13,9,6,12,7,8,1,5,0,1
I1,Spal,Bologna,1,1,D,0,1,A,13,12,9,6,13,18,7,7,2,3,0,0
I1,Genoa,Milan,0,2,A,0,0,D,13,9,7,7,14,17,5,6,3,3,0,0
I1,Juventus,Chievo,3,0,H,2,0,H,19,7,11,3,10,7,12,5,1,2,0,0
I1,Milan,Napoli,0,0,D,0,0,D,12,14,7,8,7,11,6,8,1,3,0,1
I1,Sampdoria,Udinese,4,0,H,1,0,H,14,6,9,0,14,13,1,1,2,4,0,0
I1,Sassuolo,Cagliari,3,0,H,2,0,H,11,7,9,3,14,17,4,12,1,1,0,0
I1,Atalanta,Roma,3,3,D,1,3,A,14,7,6,5,7,13,9,2,0,3,0,0
I1,Bologna,Frosinone,0,4,A,0,2,A,8,4,2,4,15,13,9,2,3,4,1,0
I1,Chievo,Fiorentina,3,4,A,1,2,A,14,11,8,7,19,18,7,5,3,1,0,1
I1,Lazio,Juventus,1,2,A,0,0,D,11,4,5,3,11,13,8,1,2,5,0,0
I1,Parma,Spal,2,3,A,1,0,H,9,15,5,6,9,13,1,10,2,4,0,0
I1,Torino,Inter,1,0,H,1,0,H,7,9,4,4,19,12,6,7,3,3,0,1
I1,Empoli,Genoa,1,3,A,0,1,A,13,12,7,7,8,7,1,3,1,2,0,0
I1,Empoli,Chievo,2,2,D,1,2,A,11,10,9,4,9,12,10,6,0,2,0,0
I1,Juventus,Parma,3,3,D,1,0,H,18,11,9,5,6,11,12,4,1,2,0,0
I1,Napoli,Sampdoria,3,0,H,2,0,H,18,8,14,2,4,12,5,3,0,3,0,0
I1,Genoa,Sassuolo,1,1,D,1,1,D,4,11,2,8,11,15,4,6,1,3,0,0
I1,Inter,Bologna,0,1,A,0,1,A,12,8,3,7,13,17,6,7,1,2,0,0
I1,Roma,Milan,1,1,D,0,1,A,11,6,9,5,15,9,10,2,3,4,0,0
I1,Spal,Torino,0,0,D,0,0,D,8,5,1,1,24,27,11,6,5,5,0,1
I1,Udinese,Fiorentina,1,1,D,0,0,D,7,9,2,4,13,14,1,10,3,3,0,0
I1,Cagliari,Atalanta,0,1,A,0,0,D,8,10,2,6,18,11,2,4,0,2,0,0
I1,Frosinone,Lazio,0,1,A,0,1,A,9,11,4,5,8,14,2,2,1,5,0,0
I1,Lazio,Empoli,1,0,H,1,0,H,8,3,4,1,13,8,3,2,1,1,0,0
I1,Chievo,Roma,0,3,A,0,2,A,11,11,6,9,6,9,7,7,1,2,0,0
I1,Fiorentina,Napoli,0,0,D,0,0,D,10,12,4,4,9,17,5,5,2,4,0,0
I1,Parma,Inter,0,1,A,0,0,D,6,13,2,7,17,12,2,10,2,2,0,0
I1,Atalanta,Spal,2,1,H,0,1,A,8,5,5,3,14,12,9,4,1,3,0,0
